Cafetaria Weapons 1
Cafetaria Admin 1
Cafetaria Storage 1
Cafetaria Upper_Engine 1
Cafetaria Medbay 1
Weapons O2 1
Weapons Navigations 1
Weapons Shield 1
Weapons Cafetaria 1
O2 Navigations 1
O2 Shield 1
O2 Weapons 1
Navigations Shield 1
Navigations O2 1
Navigations Weapons 1
Shield Communications 1
Shield Storage 1
Shield Navigations 1
Shield O2 1
Shield Weapons 1
Communications Shield 1
Communications Storage 1
Storage Admin 1
Storage Electrical 1
Storage Lower_Engine 1
Storage Cafetaria 1
Storage Communications 1
Storage Shield 1
Electrical Lower_Engine 1
Electrical Storage 1
Lower_Engine Security 1
Lower_Engine Reactor 1
Lower_Engine Upper_Engine 1
Lower_Engine Electrical 1
Lower_Engine Storage 1
Security Reactor 1
Security Upper_Engine 1
Security Lower_Engine 1
Reactor Upper_Engine 1
Reactor Security 1
Reactor Lower_Engine 1
Upper_Engine Medbay 1
Upper_Engine Cafetaria 1
Upper_Engine Security 1
Upper_Engine Reactor 1
Upper_Engine Lower_Engine 1
Medbay Cafetaria 1
Medbay Upper_Engine 1
Admin Cafetaria 1
Admin Storage 1
